"Fold","Accuracy.empirique","Accuracy.generalization","Precision.empirique","Precision.generalization","Recall.empirique","Recall.generalization","F1.empirique","F1.generalization","Methods"
"Fold1",NA,0.263374485596708,NA,0.437465886939571,NA,0.262312017341824,NA,0.167102086073222,"KNN"
"Fold2",NA,0.252566735112936,NA,0.195307108350587,NA,0.252049180327869,NA,0.209652892561983,"KNN"
"Fold3",NA,0.335390946502058,NA,0.445861867600998,NA,0.336455087386533,NA,0.347973637932982,"KNN"
"Fold4",NA,0.282474226804124,NA,0.752665245202559,NA,0.283057851239669,NA,0.216699074712028,"KNN"
"Fold5",NA,0.250513347022587,NA,0.250513347022587,NA,0.25,NA,0.400656814449918,"KNN"
"Fold6",NA,0.319587628865979,NA,0.325418026624065,NA,0.320247933884298,NA,0.360209119531153,"KNN"
"Fold7",NA,0.250513347022587,NA,0.250513347022587,NA,0.25,NA,0.400656814449918,"KNN"
"Fold8",NA,0.322314049586777,NA,0.493054434579858,NA,0.322314049586777,NA,0.324044968287436,"KNN"
"Fold9",NA,0.250513347022587,NA,0.250513347022587,NA,0.25,NA,0.400656814449918,"KNN"
"Fold10",NA,0.306584362139918,NA,0.321665264043762,NA,0.307851239669422,NA,0.381184343910075,"KNN"
